trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,ece_weight,n_bins,beta,bmse_weight,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
0,2025-07-28 19:52:12,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,50,15,1.0,1.0,0.2058444619178772,2.9077064990997314,0.006901151034981012,1.013515611703042e-05,0.027973972260951996,0.1227315291762352
1,2025-07-28 20:19:41,,150,100,0.001,0.05,128,4,0.01,4,False,0.2,0.2,2024,,1,20,1.0,1.0,0.20134201645851135,2.144592761993408,0.009682686068117619,8.077247002802324e-06,0.024305924773216248,0.11600472033023834
2,2025-07-28 20:55:01,,150,100,0.05,0.005,64,32,0.2,6,False,0.2,0.2,2024,,50,5,1.0,1.0,0.20724141597747803,2.591158866882324,0.019609907642006874,4.43499993707519e-05,0.10294891893863678,0.24054086208343506
3,2025-07-28 21:02:30,,150,100,0.1,0.005,256,16,0.1,4,False,0.2,0.2,2024,,1,5,1.0,1.0,0.1949867308139801,1.1572775840759277,0.002139768563210964,2.6781890483107418e-05,0.09244656562805176,0.22601072490215302
4,2025-07-28 21:17:10,,150,100,0.005,0.01,256,8,0.01,4,False,0.2,0.2,2024,,50,20,1.0,1.0,0.20407062768936157,1.841011643409729,0.0013462614733725786,4.3570846173679456e-05,0.08579277247190475,0.2104824036359787
5,2025-07-28 21:40:45,,150,100,0.1,0.1,128,8,0.1,8,False,0.2,0.2,2024,,50,20,1.0,1.0,0.21098612248897552,5.090928077697754,0.03258393332362175,4.6454199036816135e-05,0.0679096058011055,0.19351735711097717
6,2025-07-28 22:00:13,,150,100,0.01,0.1,64,16,0.05,4,False,0.2,0.2,2024,,20,5,1.0,1.0,0.1970052421092987,8035671552.0,1167.0638427734375,176662.390625,0.1498602330684662,0.2954906225204468
7,2025-07-28 22:12:16,,150,100,0.001,0.1,256,32,0.2,4,False,0.2,0.2,2024,,1,15,1.0,1.0,0.2518085241317749,13345182720.0,4999.88427734375,176916.125,0.14723366498947144,0.2949388325214386
8,2025-07-28 23:04:13,,150,100,0.005,0.01,64,32,0.1,2,False,0.2,0.2,2024,,10,20,1.0,1.0,0.263754665851593,12866070528.0,2022.0595703125,223542.984375,0.17723195254802704,0.327627956867218
9,2025-07-28 23:16:16,,150,100,0.005,0.005,256,32,0.05,1,False,0.2,0.2,2024,,1,10,1.0,1.0,0.19893459975719452,1.470832109451294,0.019706524908542633,6.999194010859355e-05,0.18839389085769653,0.3387683928012848
10,2025-07-28 23:22:52,,150,100,0.1,0.001,256,16,0.1,10,False,0.2,0.2,2024,,5,5,1.0,1.0,0.1995069980621338,1.579376459121704,0.004487089812755585,2.823953764163889e-05,0.08735489100217819,0.22081983089447021
11,2025-07-28 23:39:17,,150,100,0.01,0.1,64,16,0.05,4,False,0.2,0.2,2024,,20,5,1.0,1.0,0.19673730432987213,7580665344.0,1118.039794921875,176971.1875,0.15063834190368652,0.29640308022499084
12,2025-07-29 00:01:38,,150,100,0.01,0.05,64,16,0.05,4,False,0.2,0.2,2024,,20,5,1.0,1.0,0.21900959312915802,6.595485210418701,0.0021507353521883488,0.00012311972386669368,0.14827200770378113,0.29381293058395386
13,2025-07-29 00:08:33,,150,100,0.01,0.001,256,16,0.05,1,False,0.2,0.2,2024,,20,5,1.0,1.0,0.1985255628824234,1.5552979707717896,0.0023500327952206135,4.508922575041652e-05,0.13588829338550568,0.2807570695877075
14,2025-07-29 00:35:46,,150,100,0.1,0.005,64,16,0.05,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.18833667039871216,1.5989584922790527,0.02840925008058548,3.326580554130487e-05,0.1577456146478653,0.3042323887348175
15,2025-07-29 01:03:59,,150,100,0.1,0.005,64,16,0.1,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.1879158616065979,1.589217185974121,0.026633212342858315,3.206032852176577e-05,0.154809832572937,0.30052733421325684
16,2025-07-29 01:29:28,,150,100,0.1,0.005,64,16,0.2,6,False,0.2,0.2,2024,,10,10,1.0,1.0,0.18820242583751678,1.8450510501861572,0.03360782191157341,3.418736014282331e-05,0.17077688872814178,0.3182964324951172
