trial_number,timestamp,objective_value,epochs,prop_epochs,lr,prop_lr,batch_size,embedding_k,gamma,G,verbose,test_ratio,unbiased_test_ratio,seed,save_results,bmse_weight,beta,ece_weight,n_bins,ECE,BMSE,DR_Bias,DR_Variance,MSE,MAE
0,2025-07-28 17:45:23,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.2011721432209015,0.15954895317554474,0.06261745095252991,1.7374559320160188e-05,0.06166218966245651,0.1884354203939438
1,2025-07-28 17:50:13,,150,100,0.001,0.1,64,4,0.1,8,False,0.2,0.2,2024,,1,1.0,10.0,10,0.21395929157733917,11.127912521362305,0.037580251693725586,9.639930067351088e-05,0.02746257185935974,0.12361635267734528
2,2025-07-28 17:52:11,,150,100,0.05,0.01,64,8,0.2,6,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.1844622790813446,0.8268504738807678,0.006477158050984144,9.94104084384162e-06,0.04638325423002243,0.1604316681623459
3,2025-07-28 17:54:36,,150,100,0.005,0.1,64,4,0.05,8,False,0.2,0.2,2024,,1,1.0,10.0,10,0.2369917929172516,81.26322937011719,0.513132631778717,0.0018894011154770851,0.03332484886050224,0.1360379159450531
5,2025-07-28 17:56:16,,150,100,0.05,0.001,128,8,0.1,6,False,0.2,0.2,2024,,1,1.0,10.0,10,0.19603575766086578,0.9963859915733337,0.0014306718949228525,1.0657764505594969e-05,0.036989014595746994,0.14319880306720734
6,2025-07-28 17:59:36,,150,100,0.005,0.05,128,8,0.05,1,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.22628948092460632,13.717719078063965,0.08911717683076859,0.0015283910324797034,0.08773017674684525,0.21620137989521027
7,2025-07-28 18:03:23,,150,100,0.005,0.05,64,8,0.1,4,False,0.2,0.2,2024,,5,1.0,10.0,10,0.21232916414737701,1.8843804597854614,0.09053304046392441,5.7161058066412807e-05,0.0681115984916687,0.19590318202972412
8,2025-07-28 18:06:18,,150,100,0.001,0.01,256,8,0.01,10,False,0.2,0.2,2024,,15,1.0,10.0,10,0.19974222779273987,1.035370111465454,0.0061261761002242565,1.8938413631985895e-05,0.047755807638168335,0.16034427285194397
9,2025-07-28 18:08:10,,150,100,0.005,0.001,128,4,0.1,6,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19623827934265137,0.6822816729545593,0.005780320148915052,1.722087836242281e-05,0.05077000707387924,0.16906273365020752
10,2025-07-28 18:13:05,,150,100,0.01,0.005,128,32,0.2,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.19544363021850586,1.520107388496399,0.023707812651991844,6.870756624266505e-05,0.20518998801708221,0.3558241128921509
11,2025-07-28 18:14:51,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.1951005458831787,0.08181336522102356,0.05109115317463875,1.7145006495411508e-05,0.0749664157629013,0.2069486528635025
12,2025-07-28 18:16:48,,150,100,0.005,0.005,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19008979201316833,0.07585219293832779,0.03994237631559372,1.5156881090661045e-05,0.07531551271677017,0.20746706426143646
13,2025-07-28 18:17:59,,150,100,0.1,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19427049160003662,0.06892509758472443,0.05417744815349579,1.709860225673765e-05,0.08042830228805542,0.21929654479026794
14,2025-07-28 18:19:50,,150,100,0.1,0.005,128,32,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.20386070013046265,1.659858226776123,0.03437479957938194,0.00012228498235344887,0.2317526489496231,0.3814214766025543
15,2025-07-28 18:21:13,,150,100,0.1,0.005,128,16,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.2117779552936554,0.9959182739257812,0.04981275275349617,8.838646317599341e-05,0.15182049572467804,0.3011731505393982
16,2025-07-28 18:22:29,,150,100,0.01,0.001,256,4,0.01,10,False,0.2,0.2,2024,,20,1.0,10.0,10,0.1968679428100586,0.7617846131324768,0.014786695130169392,1.3113565728417598e-05,0.03833873197436333,0.14345109462738037
17,2025-07-28 18:23:41,,150,100,0.1,0.005,128,4,0.2,1,False,0.2,0.2,2024,,5,1.0,10.0,10,0.19869543612003326,0.35601434111595154,0.038290370255708694,1.8401480701868422e-05,0.06234470009803772,0.19048936665058136
18,2025-07-28 18:24:51,,150,100,0.1,0.001,128,4,0.05,4,False,0.2,0.2,2024,,15,1.0,10.0,10,0.19576337933540344,0.13870008289813995,0.05202420800924301,1.6720665371394716e-05,0.07264289259910583,0.207235649228096
19,2025-07-28 18:26:01,,150,100,0.05,0.01,256,16,0.1,2,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.18193593621253967,0.7582327723503113,0.007548269350081682,1.614849315956235e-05,0.08745769411325455,0.2209087610244751
20,2025-07-28 18:30:38,,150,100,0.01,0.05,128,32,0.1,2,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.26484254002571106,13604176896.0,3065.4169921875,227121.625,0.18204914033412933,0.3323386013507843
21,2025-07-28 18:32:39,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19503559172153473,0.08362434059381485,0.050706200301647186,1.7572494471096434e-05,0.0757051631808281,0.20846973359584808
22,2025-07-28 18:34:41,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19630204141139984,0.08956640958786011,0.05442912504076958,1.8714810721576214e-05,0.07705914229154587,0.2101898491382599
23,2025-07-28 18:36:32,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19582070410251617,0.086135134100914,0.05370403081178665,1.7362461221637204e-05,0.07469449192285538,0.20660696923732758
24,2025-07-28 18:37:59,,150,100,0.001,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19640472531318665,0.628744900226593,0.0011280166218057275,4.371445902506821e-05,0.1354418694972992,0.28305020928382874
25,2025-07-28 18:39:14,,150,100,0.1,0.005,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19301463663578033,0.06836601346731186,0.055024389177560806,1.6420386600657366e-05,0.07935775071382523,0.21744698286056519
26,2025-07-28 18:40:45,,150,100,0.1,0.005,128,4,0.2,4,False,0.2,0.2,2024,,20,1.0,10.0,10,0.20051772892475128,1.6776480674743652,0.04684414714574814,3.7135487218620256e-05,0.08554351329803467,0.2302110493183136
27,2025-07-28 18:42:11,,150,100,0.1,0.005,128,4,0.05,10,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19517794251441956,0.8403972387313843,0.010029265657067299,1.981709101528395e-05,0.06826876848936081,0.19433104991912842
28,2025-07-28 18:42:58,,150,100,0.1,0.005,256,16,0.01,1,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.20099949836730957,0.9068257212638855,0.011206675320863724,4.8312325816368684e-05,0.13698960840702057,0.2817925810813904
29,2025-07-28 18:45:04,,150,100,0.1,0.005,64,4,0.1,2,False,0.2,0.2,2024,,5,1.0,10.0,10,0.1875288337469101,0.23895110189914703,0.024997519329190254,1.7540060071041808e-05,0.08379972726106644,0.21998819708824158
30,2025-07-28 18:47:16,,150,100,0.1,0.005,128,32,0.1,2,False,0.2,0.2,2024,,0.1,1.0,10.0,10,0.20982445776462555,2.802762269973755,0.06245842203497887,0.00011906930740224198,0.20028866827487946,0.34986412525177
31,2025-07-28 18:49:08,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.1973443329334259,0.08984539657831192,0.05764386057853699,1.868959589046426e-05,0.07582779973745346,0.2085094004869461
32,2025-07-28 18:50:56,,150,100,0.005,0.1,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.20434525609016418,0.16860724985599518,0.19836734235286713,4.4953816541237757e-05,0.07848776131868362,0.21119944751262665
33,2025-07-28 18:52:17,,150,100,0.001,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19776856899261475,0.6380584836006165,0.004496278706938028,4.647605965146795e-05,0.13570824265480042,0.2852960228919983
34,2025-07-28 18:54:33,,150,100,0.05,0.01,64,4,0.1,8,False,0.2,0.2,2024,,15,1.0,10.0,10,0.20754490792751312,1.9129376411437988,0.055321577936410904,3.504586493363604e-05,0.05685882642865181,0.18446317315101624
35,2025-07-28 18:56:41,,150,100,0.005,0.1,128,4,0.1,2,False,0.2,0.2,2024,,1,1.0,10.0,10,0.19573788344860077,1.47136652469635,0.0809822827577591,1.8150414689444005e-05,0.03206884488463402,0.13519883155822754
36,2025-07-28 18:58:11,,150,100,0.005,0.005,128,4,0.2,6,False,0.2,0.2,2024,,10,1.0,10.0,10,0.1978292614221573,0.9830217957496643,0.003471680684015155,6.656825917161768e-06,0.021856874227523804,0.11250406503677368
37,2025-07-28 19:00:17,,150,100,0.1,0.05,64,4,0.05,8,False,0.2,0.2,2024,,20,1.0,10.0,10,0.2114059031009674,2.5794923305511475,0.1957622468471527,0.0002718452597036958,0.09998408704996109,0.2401190847158432
38,2025-07-28 19:04:23,,150,100,0.01,0.001,128,16,0.1,2,False,0.2,0.2,2024,,1,1.0,10.0,10,0.19639964401721954,1.0677629709243774,0.0018601276678964496,4.8869100282900035e-05,0.15784162282943726,0.30312031507492065
39,2025-07-28 19:05:04,,150,100,0.05,0.1,256,8,0.01,1,False,0.2,0.2,2024,,0.5,1.0,10.0,10,0.23144564032554626,7.079728603363037,0.4804081320762634,0.0011504088761284947,0.06440426409244537,0.19541049003601074
40,2025-07-28 19:07:11,,150,100,0.005,0.01,128,4,0.1,6,False,0.2,0.2,2024,,20,1.0,10.0,10,0.20111827552318573,0.7655801773071289,0.00938455294817686,2.1326864953152835e-05,0.05361244082450867,0.17357434332370758
41,2025-07-28 19:09:06,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19556155800819397,0.08623858541250229,0.0530167855322361,1.779880403773859e-05,0.07595270127058029,0.20857223868370056
42,2025-07-28 19:11:09,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19650985300540924,0.09014622867107391,0.05522744357585907,1.855117989180144e-05,0.07610029727220535,0.20857903361320496
43,2025-07-28 19:13:21,,150,100,0.005,0.001,128,4,0.1,2,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19589918851852417,0.09179027378559113,0.052262742072343826,1.843895370257087e-05,0.07641561329364777,0.20968614518642426
44,2025-07-28 19:16:25,,150,100,0.005,0.001,128,8,0.1,2,False,0.2,0.2,2024,,10,1.0,10.0,10,0.1969076693058014,0.22003820538520813,0.03811439126729965,2.3538223103969358e-05,0.07936009019613266,0.21679799258708954
45,2025-07-28 19:22:17,,150,100,0.001,0.005,64,4,0.1,4,False,0.2,0.2,2024,,20,1.0,10.0,10,0.19744394719600677,0.30010685324668884,0.03121798112988472,1.8316031855647452e-05,0.061646513640880585,0.18286339938640594
